id	loan_doc_id	from_ac_id	to_ac_id	amount	txn_type	txn_id	txn_mode	txn_exec_by	txn_date	remarks	created_by	updated_by	created_at	updated_at
25980	UEZM-640498-88172	3	1150	2000000.00	disbursal	84020635	wallet_portal	1173	2020-09-23 00:00:00	NULL	6	NULL	2020-09-23 12:20:29	NULL
26136	UEZM-315937-37521	3	1789	500000.00	disbursal	84043835	wallet_portal	1173	2020-09-23 00:00:00	NULL	6	NULL	2020-09-24 13:21:03	NULL
26289	CCA-673421-35345	1783	1502	1500000.00	disbursal	81tNjKSr	wallet_portal	1486	2020-09-25 00:00:00	NULL	6	NULL	2020-09-25 11:57:39	NULL
26526	UEZM-736043-87248	3	1231	2000000.00	disbursal	84456706	wallet_portal	1173	2020-09-28 00:00:00	NULL	6	NULL	2020-09-28 12:20:55	NULL
26665	UEZM-191118-24710	3	885	3000000.00	disbursal	84499750	wallet_portal	1173	2020-09-29 00:00:00	NULL	6	NULL	2020-09-29 09:31:10	NULL
27342	UEZM-892678-35722	3	1955	1000000.00	disbursal	84720056	wallet_portal	1173	2020-10-03 00:00:00	NULL	6	NULL	2020-10-03 17:20:55	NULL
27404	UEZM-373510-59932	3	1902	1000000.00	disbursal	84816802	wallet_portal	1173	2020-10-05 00:00:00	NULL	6	NULL	2020-10-05 11:05:18	NULL
27499	CCA-795238-49269	1783	1805	750000.00	disbursal	8GhqHpdE	wallet_portal	1486	2020-10-05 00:00:00	NULL	6	NULL	2020-10-05 16:48:45	NULL
27660	CCA-176763-80910	1783	1932	500000.00	disbursal	xdsypjhv	wallet_portal	1487	2020-10-06 00:00:00	NULL	6	NULL	2020-10-06 16:08:26	NULL
27702	CCA-385681-80638	1783	1798	500000.00	disbursal	jssrw3SQ	wallet_portal	1486	2020-10-07 00:00:00	NULL	6	NULL	2020-10-07 09:24:22	NULL
27841	CCA-985586-47771	1783	1936	1000000.00	disbursal	ek86xvYC	wallet_portal	1173	2020-10-07 00:00:00	NULL	6	NULL	2020-10-07 17:26:24	NULL
35609	CCA-809039-49806	1783	1853	1000000.00	disbursal	6794G61f	wallet_portal	1486	2020-10-12 00:00:00	NULL	18	NULL	2020-10-12 23:07:10	NULL
36112	CCA-494122-77912	1783	1513	3000000.00	disbursal	Pel7wI6kgqD4jmGP	wallet_portal	1486	2020-10-15 00:00:00	Pel7wI6k/ gqD4jmGP	18	NULL	2020-10-15 16:59:45	NULL
36361	CCA-323252-22942	1783	1580	3000000.00	disbursal	47CKL2L9eHlyQeEJ	wallet_portal	1486	2020-10-19 00:00:00	47CKL2L9/ eHlyQeEJ	18	NULL	2020-10-19 12:16:55	NULL
