id	loan_doc_id	from_ac_id	to_ac_id	amount	txn_type	txn_id	txn_mode	txn_exec_by	txn_date	remarks	created_by	updated_by	created_at	updated_at
26156	UEZM 07810	NULL	3	1022000.00	payment	99315023	wallet_portal	1	2020-09-24 00:00:00	NULL	6	NULL	2020-09-24 13:59:34	NULL
26549	UEZM 07846	NULL	3	3055000.00	payment	84458195	wallet_portal	1	2020-09-28 00:00:00	NULL	6	NULL	2020-09-28 13:05:02	NULL
27556	UEZM-938241-66627	NULL	3	1022000.00	payment	32043397	wallet_transfer	1	2020-10-06 00:00:00	NULL	6	NULL	2020-10-06 10:18:16	NULL
27720	CCA-472298-84873	NULL	1783	512000.00	payment	ZgjHCNI1	wallet_portal	1	2020-10-07 00:00:00	NULL	6	NULL	2020-10-07 10:24:28	NULL
35701	CCA-144103-14412	NULL	1783	1022000.00	payment	jTF6bJTe	wallet_portal	1	2020-10-13 00:00:00	NULL	18	NULL	2020-10-13 12:32:38	NULL
36115	CCA-945038-97189	NULL	1783	1022000.00	payment	RSb5YfQ7	wallet_portal	1	2020-10-15 00:00:00	NULL	18	NULL	2020-10-15 17:03:16	NULL
36176	UEZM-424364-46241	NULL	3	512000.00	payment	85309522	wallet_portal	1	2020-10-16 00:00:00	NULL	13	NULL	2020-10-16 13:08:22	NULL
37153	CCA-648699-15920	NULL	1783	1022000.00	payment	m83wAUDz	wallet_portal	1	2020-10-26 00:00:00	NULL	18	NULL	2020-10-26 08:53:14	NULL
37330	CCA-270716-51347	NULL	1783	767000.00	payment	byEpxKBC	wallet_portal	1	2020-10-26 00:00:00	NULL	19	NULL	2020-10-26 17:09:03	NULL
38520	CCA-931932-84446	NULL	1783	2038000.00	payment	yHeBIFYZBtHVItGz	wallet_portal	1486	2020-11-03 00:00:00	yHeBIFYZ/ BtHVItGz	18	NULL	2020-11-03 17:22:10	NULL
38521	CCA-931932-84446	NULL	1783	2038000.00	payment	yHeBIFYZBtHVItGz	wallet_portal	1486	2020-11-03 00:00:00	yHeBIFYZ/ BtHVItGz	18	NULL	2020-11-03 17:22:10	NULL
38524	CCA-444860-68044	NULL	1783	1022000.00	payment	R6Dsvh3q	wallet_portal	1486	2020-11-03 00:00:00	NULL	18	NULL	2020-11-03 17:23:17	NULL
38983	CCA-603404-65693	NULL	1783	2038000.00	payment	TQuyHAUCC1fQAvgP	wallet_portal	1486	2020-11-06 00:00:00	TQuyHAUC/ C1fQAvgP	18	NULL	2020-11-06 16:00:58	NULL
38995	CCA-139657-60694	NULL	1783	512000.00	payment	PEkmsFP1	wallet_portal	1486	2020-11-06 00:00:00	NULL	18	NULL	2020-11-06 16:16:24	NULL
39065	CCA-191134-58368	NULL	1783	512000.00	payment	w7k2FQsm	wallet_portal	1486	2020-11-07 00:00:00	NULL	18	NULL	2020-11-07 15:39:06	NULL
39187	CCA-874627-89109	NULL	1783	1022000.00	payment	U2iuj2W6	wallet_portal	1486	2020-11-09 00:00:00	NULL	18	NULL	2020-11-09 12:14:46	NULL
39193	CCA-306029-99774	NULL	1783	512000.00	payment	2TftfbDX	wallet_portal	1486	2020-11-09 00:00:00	NULL	18	NULL	2020-11-09 12:17:44	NULL
39289	CCA-864979-99999	NULL	1783	1022000.00	payment	7Hhjf7zQ	wallet_portal	1486	2020-11-09 00:00:00	NULL	18	NULL	2020-11-09 17:06:46	NULL
39290	CCA-864979-99999	NULL	1783	1022000.00	payment	7Hhjf7zQ	wallet_portal	1486	2020-11-09 00:00:00	NULL	18	NULL	2020-11-09 17:06:46	NULL
39443	CCA-274733-92045	NULL	1783	2038000.00	payment	4CLFB9Pl4rdtTVW1	wallet_portal	1486	2020-11-10 00:00:00	4CLFB9Pl/ 4rdtTVW1	18	NULL	2020-11-10 11:09:26	NULL
39444	CCA-274733-92045	NULL	1783	2038000.00	payment	4CLFB9Pl4rdtTVW1	wallet_portal	1486	2020-11-10 00:00:00	4CLFB9Pl/ 4rdtTVW1	18	NULL	2020-11-10 11:09:26	NULL
39445	CCA-274733-92045	NULL	1783	2038000.00	payment	4CLFB9Pl4rdtTVW1	wallet_portal	1486	2020-11-10 00:00:00	4CLFB9Pl/ 4rdtTVW1	18	NULL	2020-11-10 11:09:26	NULL
39446	CCA-274733-92045	NULL	1783	2038000.00	payment	4CLFB9Pl4rdtTVW1	wallet_portal	1486	2020-11-10 00:00:00	4CLFB9Pl/ 4rdtTVW1	18	NULL	2020-11-10 11:09:26	NULL
39572	CCA-521297-11284	NULL	1783	2038000.00	payment	pAdAg19GlMPLlbeP	wallet_portal	1486	2020-11-10 00:00:00	pAdAg19G/ lMPLlbeP	18	NULL	2020-11-10 15:34:46	NULL
40037	CCA-461758-82559	NULL	1783	1022000.00	payment	H1w5dqPU	wallet_portal	1486	2020-11-13 00:00:00	NULL	18	NULL	2020-11-13 15:52:39	NULL
40412	CCA-905005-27266	NULL	1783	1532000.00	payment	fzwykYup	wallet_portal	1486	2020-11-16 00:00:00	NULL	18	NULL	2020-11-16 17:25:55	NULL
40440	CCA-315050-39453	NULL	1783	3055000.00	payment	PqccL2pYHVWjFqNs	wallet_portal	1486	2020-11-16 00:00:00	PqccL2pY/ HVWjFqNs	18	NULL	2020-11-17 09:09:55	NULL
41108	CCA-136927-11661	NULL	1783	3055000.00	payment	PLBUKLHXtWc29E3k	wallet_portal	1486	2020-11-19 00:00:00	PLBUKLHX/ tWc29E3k	18	NULL	2020-11-19 17:45:43	NULL
41109	CCA-136927-11661	NULL	1783	3055000.00	payment	PLBUKLHXtWc29E3k	wallet_portal	1486	2020-11-19 00:00:00	PLBUKLHX/ tWc29E3k	18	NULL	2020-11-19 17:45:43	NULL
41110	CCA-136927-11661	NULL	1783	3055000.00	payment	PLBUKLHXtWc29E3k	wallet_portal	1486	2020-11-19 00:00:00	PLBUKLHX/ tWc29E3k	18	NULL	2020-11-19 17:45:44	NULL
41114	CCA-144296-11004	NULL	1783	1022000.00	payment	N6M4XW9Z	wallet_portal	1486	2020-11-19 00:00:00	NULL	18	NULL	2020-11-19 17:47:06	NULL
41392	CCA-841867-39320	NULL	1783	1022000.00	payment	XI44tTuq	wallet_portal	1486	2020-11-21 00:00:00	NULL	18	NULL	2020-11-22 14:16:42	NULL
41626	CCA-708123-62330	NULL	1783	3055000.00	payment	w3KRTeSt9heesD6z	wallet_portal	1486	2020-11-23 00:00:00	w3KRTeSt/ 9heesD6z	18	NULL	2020-11-23 13:36:37	NULL
41657	CCA-969056-93134	NULL	1783	1022000.00	payment	CrbMMzZU	wallet_portal	1486	2020-11-23 00:00:00	NULL	18	NULL	2020-11-23 14:55:54	NULL
41661	CCA-542301-58525	NULL	1783	2038000.00	payment	n41xp3wJZFRxNsBx	wallet_portal	1486	2020-11-23 00:00:00	n41xp3wJ/ ZFRxNsBx	18	NULL	2020-11-23 14:56:36	NULL
41683	CCA-513743-16827	NULL	1783	1022000.00	payment	YBjKircf	wallet_portal	1486	2020-11-23 00:00:00	NULL	18	NULL	2020-11-23 15:24:13	NULL
41687	CCA-803560-13847	NULL	1783	3055000.00	payment	n1fV8SPUKpvr4YZW	wallet_portal	1486	2020-11-23 00:00:00	n1fV8SPU/ Kpvr4YZW	18	NULL	2020-11-23 15:26:08	NULL
41693	CCA-999353-93892	NULL	1783	512000.00	payment	NZSHi94y	wallet_portal	1486	2020-11-23 00:00:00	NULL	18	NULL	2020-11-23 15:30:05	NULL
41807	CCA-422869-13122	NULL	1783	1022000.00	payment	AtrrGGQx	wallet_portal	1486	2020-11-24 00:00:00	NULL	18	NULL	2020-11-24 12:36:19	NULL
41835	CCA-413637-11808	NULL	1783	767000.00	payment	bxVR6cep	wallet_portal	1486	2020-11-24 00:00:00	NULL	18	NULL	2020-11-24 15:05:13	NULL
